Student_Number,P4_Criteria_1_Accuracy,P4_Criteria_2_Analysis,P4_Criteria_3_Organization,P4_Criteria_4_Clarity,P4_Criteria_5_Professionalism,P4_Total_Score,P4_Grade,P4_Hallucination,P4_Notes,Time_Spent_Assignment_4,Group,AI_Condition
c1f9916910cd4128,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,90.0,C,Vincent
7316aefcd59a0b74,5.0,4.0,6.0,6.0,5.0,26.0,B+,,,45.0,A,No AI
1167a8417b14a001,5.0,6.0,5.0,5.0,6.0,27.0,B+,,,88.0,A,No AI
ec2ed9ca82601e42,,,,,,,,,,,A,No AI
5eb1b92aee244e2a,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,125.0,A,No AI
065a189f3e847a38,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,180.0,A,No AI
865d47f31de717c9,6.0,5.0,4.0,5.0,5.0,25.0,B+,,,25.0,C,Vincent
1777a66aff697497,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,150.0,C,Vincent
6ec4e59da50d8f3a,4.0,4.0,4.0,4.0,5.0,21.0,B,,,85.0,B,GPT 01
353f2cb98f3467b5,,,,,,,,,,,C,Vincent
4fdc1cc6f372410e,4.0,4.0,5.0,5.0,6.0,24.0,B+,,,155.0,A,No AI
ddbc5bb6018f9e0f,5.0,4.0,5.0,5.0,6.0,25.0,B+,,,35.0,C,Vincent
1bcba07e11b7af99,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,90.0,B,GPT 01
4c56c0d8e61ed412,5.0,4.0,5.0,5.0,6.0,25.0,B+,,,110.0,C,Vincent
3d53c1b0295b9a26,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,120.0,A,No AI
544af5e3f23bd87a,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,86.0,B,GPT 01
f3ca044a6fc18861,,,,,,,,,,,C,Vincent
ad4e0a23d55a9bc2,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,45.0,C,Vincent
9109b13b11fd7782,6.0,5.0,6.0,5.0,4.0,26.0,B+,,,86.0,A,No AI
6a370e860ed24357,6.0,6.0,7.0,6.0,7.0,32.0,A-,,,118.0,C,Vincent
5c031f15ede898cb,,,,,,,,,,,C,Vincent
8f7e1a35f9425a0e,,,,,,,,,,,B,GPT 01
13b6a1020ad46272,5.0,6.0,5.0,5.0,5.0,26.0,B+,,,90.0,B,GPT 01
7c4f2cdf9a7ba025,5.0,4.0,4.0,4.0,5.0,22.0,B,,,30.0,B,GPT 01
c55ed9175b0738c2,4.0,4.0,6.0,5.0,7.0,26.0,B+,,,124.0,B,GPT 01
33c5096295ad6e13,,,,,,,,,,,C,Vincent
b382a87f990db71a,,,,,,,,,,,C,Vincent
e0586dd6ba414274,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,100.0,A,No AI
7e107a9c0ebdc482,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,56.0,C,Vincent
2bfdab79d93e7bce,5.0,4.0,4.0,4.0,5.0,22.0,B,,,20.0,B,GPT 01
f4534ca99db52354,,,,,,,,,,,B,GPT 01
889b30f2a988ff0a,5.0,5.0,6.0,5.0,6.0,27.0,B+,,,59.0,B,GPT 01
efbfc0f029c0ac5f,5.0,4.0,4.0,5.0,4.0,22.0,B,,,60.0,C,Vincent
1532b47abfa256d4,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,65.0,B,GPT 01
824bb66524753233,4.0,4.0,4.0,5.0,4.0,21.0,B,,,15.0,C,Vincent
f89651d646f1ab95,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,90.0,A,No AI
02a6298460b477ce,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,97.0,B,GPT 01
3b79cd5d4dc9545c,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,40.0,C,Vincent
d43b490ad3b330c7,,,,,,,,,,,B,GPT 01
81703482b559611e,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,65.0,B,GPT 01
8b3794f02b5e4db5,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,43.0,C,Vincent
79d436c6314eda33,6.0,5.0,5.0,5.0,4.0,25.0,B+,,,180.0,A,No AI
9be12b158467797d,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,40.0,C,Vincent
820ef4cb24626154,7.0,6.0,6.0,7.0,7.0,33.0,A,,,85.0,B,GPT 01
b342e13cf1dcabea,4.0,3.0,4.0,4.0,5.0,20.0,B,,,65.0,C,Vincent
bfd51df7115d0bee,6.0,6.0,5.0,6.0,7.0,30.0,A-,,,75.0,B,GPT 01
8fd8eb1d02d74b73,6.0,6.0,5.0,6.0,7.0,30.0,A-,,,180.0,A,No AI
60f4a10cf0e76952,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,56.0,A,No AI
f7b9fdfc04c988ab,5.0,4.0,4.0,4.0,4.0,21.0,B,,,113.0,A,No AI
446f96dc3003002c,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,97.0,A,No AI
d2aff30970fe0d4c,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,118.0,C,Vincent
