Student_Number,P2_Criteria_1_Accuracy,P2_Criteria_2_Analysis,P2_Criteria_3_Organization,P2_Criteria_4_Clarity,P2_Criteria_5_Professionalism,P2_Total_Score,P2_Grade,P2_Hallucination,P2_Hallucination_Note,P2_Notes,Time_Spent_Assignment_2,Group,AI_Condition,P2_Productivity
c1f9916910cd4128,4.0,3.0,6.0,2.0,4.0,19.0,B,,,,240.0,C,GPT 01,0.07916666666666666
7316aefcd59a0b74,2.0,3.0,5.0,3.0,4.0,17.0,B-,,,,53.0,A,Vincent,0.32075471698113206
1167a8417b14a001,4.0,4.0,4.0,3.0,4.0,19.0,B,,,,42.0,A,Vincent,0.4523809523809524
ec2ed9ca82601e42,4.0,3.0,3.0,2.0,4.0,16.0,B-,,,,,A,Vincent,
5eb1b92aee244e2a,3.0,4.0,4.0,2.0,2.0,15.0,B-,,,"Didn't finish the Conclusion, although had several hundred words left to use. Last sentence reads: ""In sum, neither Massachusetts nor New Hampshire case law require payment of""",190.0,A,Vincent,0.07894736842105263
065a189f3e847a38,3.0,3.0,3.0,4.0,2.0,15.0,B-,,,About 1/3 of word limit,240.0,A,Vincent,0.0625
865d47f31de717c9,,,,,,,,,,No Submission,129.0,C,GPT 01,
1777a66aff697497,5.0,5.0,6.0,5.0,6.0,27.0,B+,,,,240.0,C,GPT 01,0.1125
6ec4e59da50d8f3a,3.0,4.0,2.0,4.0,3.0,16.0,B-,,,Left name in,120.0,B,No AI,0.13333333333333333
353f2cb98f3467b5,,,,,,,,,,No Submission,,C,GPT 01,
4fdc1cc6f372410e,2.0,3.0,5.0,4.0,5.0,19.0,B,,,,195.0,A,Vincent,0.09743589743589744
ddbc5bb6018f9e0f,2.0,3.0,6.0,5.0,5.0,21.0,B,,,,117.0,C,GPT 01,0.1794871794871795
1bcba07e11b7af99,5.0,5.0,5.0,6.0,6.0,27.0,B+,,,,170.0,B,No AI,0.1588235294117647
4c56c0d8e61ed412,3.0,3.0,6.0,4.0,6.0,22.0,B,,,,232.0,C,GPT 01,0.09482758620689655
3d53c1b0295b9a26,2.0,2.0,5.0,3.0,5.0,17.0,B-,,,,120.0,A,Vincent,0.14166666666666666
544af5e3f23bd87a,3.0,4.0,6.0,5.0,3.0,21.0,B,,,,239.0,B,No AI,0.08786610878661087
f3ca044a6fc18861,,,,,,,,,,No Submission,,C,GPT 01,
ad4e0a23d55a9bc2,2.0,3.0,6.0,4.0,4.0,19.0,B,,,Went over by 39 words,95.0,C,GPT 01,0.2
9109b13b11fd7782,2.0,3.0,7.0,4.0,6.0,22.0,B,,,,197.0,A,Vincent,0.1116751269035533
6a370e860ed24357,4.0,4.0,5.0,4.0,6.0,23.0,B,,,,225.0,C,GPT 01,0.10222222222222223
5c031f15ede898cb,,,,,,,,,,,,C,GPT 01,
8f7e1a35f9425a0e,,,,,,,,,,,,B,No AI,
13b6a1020ad46272,2.0,1.0,1.0,1.0,1.0,6.0,C,,,Only wrote 350 words (out of 1500),120.0,B,No AI,0.05
7c4f2cdf9a7ba025,2.0,2.0,2.0,2.0,1.0,9.0,C+,,,Only wrote 537 words (out of 1500),180.0,B,No AI,0.05
c55ed9175b0738c2,,,,,,,,,,,,B,No AI,
33c5096295ad6e13,,,,,,,,,,,,C,GPT 01,
b382a87f990db71a,,,,,,,,,,,,C,GPT 01,
e0586dd6ba414274,5.0,5.0,6.0,4.0,6.0,26.0,B+,,,,240.0,A,Vincent,0.10833333333333334
7e107a9c0ebdc482,5.0,6.0,6.0,5.0,7.0,29.0,A-,,,,165.0,C,GPT 01,0.17575757575757575
2bfdab79d93e7bce,2.0,2.0,5.0,4.0,2.0,15.0,B-,,,,190.0,B,No AI,0.07894736842105263
f4534ca99db52354,,,,,,,,,,,,B,No AI,
889b30f2a988ff0a,3.0,3.0,5.0,4.0,5.0,20.0,B,,,,189.0,B,No AI,0.10582010582010581
efbfc0f029c0ac5f,2.0,4.0,5.0,4.0,6.0,21.0,B,,,,190.0,C,GPT 01,0.11052631578947368
1532b47abfa256d4,1.0,2.0,3.0,3.0,4.0,13.0,B-,,,,122.0,B,No AI,0.10655737704918032
824bb66524753233,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,,240.0,C,GPT 01,0.125
f89651d646f1ab95,4.0,4.0,5.0,4.0,5.0,22.0,B,,,,240.0,A,Vincent,0.09166666666666666
02a6298460b477ce,4.0,4.0,5.0,2.0,5.0,20.0,B,,,,171.0,B,No AI,0.11695906432748537
3b79cd5d4dc9545c,2.0,3.0,4.0,3.0,6.0,18.0,B,,,,109.0,C,GPT 01,0.1651376146788991
d43b490ad3b330c7,,,,,,,B,,,,,B,No AI,
81703482b559611e,2.0,2.0,5.0,4.0,2.0,15.0,B-,,,,164.0,B,No AI,0.09146341463414634
