Student_Number,P6_Criteria_1_Accuracy,P6_Criteria_2_Analysis,P6_Criteria_3_Organization,P6_Criteria_4_Clarity,P6_Criteria_5_Professionalism,P6_Total_Score,P6_Grade,P6_Hallucination,P6_Hallucination_Note,P6_Notes,Time_Spent_Assignment_6,Group,AI_Condition,P6_Productivity
c1f9916910cd4128,3.0,3.0,4.0,5.0,3.0,18.0,B,,,,150.0,C,No AI,0.12
7316aefcd59a0b74,7.0,6.0,7.0,7.0,7.0,34.0,A,,,,48.0,A,GPT 01,0.7083333333333334
1167a8417b14a001,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,74.0,A,GPT 01,0.33783783783783783
ec2ed9ca82601e42,,,,,,,,,,,,A,GPT 01,
5eb1b92aee244e2a,2.0,3.0,4.0,3.0,3.0,15.0,B-,,,,110.0,A,GPT 01,0.13636363636363635
065a189f3e847a38,5.0,5.0,4.0,5.0,6.0,25.0,B+,,,,81.0,A,GPT 01,0.30864197530864196
865d47f31de717c9,6.0,6.0,4.0,5.0,6.0,27.0,B+,,,,125.0,C,No AI,0.216
1777a66aff697497,4.0,3.0,4.0,5.0,4.0,20.0,B,,,,140.0,C,No AI,0.14285714285714285
6ec4e59da50d8f3a,5.0,6.0,6.0,6.0,6.0,29.0,A-,,,,110.0,B,Vincent,0.2636363636363636
353f2cb98f3467b5,,,,,,, ,,,,,C,No AI,
4fdc1cc6f372410e,6.0,6.0,7.0,5.0,7.0,31.0,A-,,,,130.0,A,GPT 01,0.23846153846153847
ddbc5bb6018f9e0f,1.0,2.0,2.0,4.0,2.0,11.0,C+,,,,136.0,C,No AI,0.08088235294117647
1bcba07e11b7af99,4.0,5.0,6.0,6.0,6.0,27.0,B+,,,,55.0,B,Vincent,0.4909090909090909
4c56c0d8e61ed412,5.0,5.0,6.0,6.0,7.0,29.0,A-,,,,116.0,C,No AI,0.25
